"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-04","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-05","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-06","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-07","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-08","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-09","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-10","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-11","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-12","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-13","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-14","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-15","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-16","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-17","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-18","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-19","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-20","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-21","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-22","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-23","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-24","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-25","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-26","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-27","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-28","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-29","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
"2020-01-30","IR","Iran (Islamic Republic of)","EMRO",0,0,0,0
