"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","AL","Albania","EURO",0,0,0,0
"2020-01-04","AL","Albania","EURO",0,0,0,0
"2020-01-05","AL","Albania","EURO",0,0,0,0
"2020-01-06","AL","Albania","EURO",0,0,0,0
"2020-01-07","AL","Albania","EURO",0,0,0,0
"2020-01-08","AL","Albania","EURO",0,0,0,0
"2020-01-09","AL","Albania","EURO",0,0,0,0
"2020-01-10","AL","Albania","EURO",0,0,0,0
"2020-01-11","AL","Albania","EURO",0,0,0,0
"2020-01-12","AL","Albania","EURO",0,0,0,0
"2020-01-13","AL","Albania","EURO",0,0,0,0
"2020-01-14","AL","Albania","EURO",0,0,0,0
"2020-01-15","AL","Albania","EURO",0,0,0,0
"2020-01-16","AL","Albania","EURO",0,0,0,0
"2020-01-17","AL","Albania","EURO",0,0,0,0
"2020-01-18","AL","Albania","EURO",0,0,0,0
"2020-01-19","AL","Albania","EURO",0,0,0,0
"2020-01-20","AL","Albania","EURO",0,0,0,0
"2020-01-21","AL","Albania","EURO",0,0,0,0
"2020-01-22","AL","Albania","EURO",0,0,0,0
"2020-01-23","AL","Albania","EURO",0,0,0,0
"2020-01-24","AL","Albania","EURO",0,0,0,0
"2020-01-25","AL","Albania","EURO",0,0,0,0
"2020-01-26","AL","Albania","EURO",0,0,0,0
"2020-01-27","AL","Albania","EURO",0,0,0,0
"2020-01-28","AL","Albania","EURO",0,0,0,0
"2020-01-29","AL","Albania","EURO",0,0,0,0
"2020-01-30","AL","Albania","EURO",0,0,0,0
"2020-01-31","AL","Albania","EURO",0,0,0,0
"2020-02-01","AL","Albania","EURO",0,0,0,0
"2020-02-02","AL","Albania","EURO",0,0,0,0
"2020-02-03","AL","Albania","EURO",0,0,0,0
"2020-02-04","AL","Albania","EURO",0,0,0,0
"2020-02-05","AL","Albania","EURO",0,0,0,0
"2020-02-06","AL","Albania","EURO",0,0,0,0
"2020-02-07","AL","Albania","EURO",0,0,0,0
"2020-02-08","AL","Albania","EURO",0,0,0,0
"2020-02-09","AL","Albania","EURO",0,0,0,0
"2020-02-10","AL","Albania","EURO",0,0,0,0
"2020-02-11","AL","Albania","EURO",0,0,0,0
"2020-02-12","AL","Albania","EURO",0,0,0,0
"2020-02-13","AL","Albania","EURO",0,0,0,0
"2020-02-14","AL","Albania","EURO",0,0,0,0
"2020-02-15","AL","Albania","EURO",0,0,0,0
"2020-02-16","AL","Albania","EURO",0,0,0,0
"2020-02-17","AL","Albania","EURO",0,0,0,0
"2020-02-18","AL","Albania","EURO",0,0,0,0
"2020-02-19","AL","Albania","EURO",0,0,0,0
"2020-02-20","AL","Albania","EURO",0,0,0,0
"2020-02-21","AL","Albania","EURO",0,0,0,0
"2020-02-22","AL","Albania","EURO",0,0,0,0
"2020-02-23","AL","Albania","EURO",0,0,0,0
"2020-02-24","AL","Albania","EURO",0,0,0,0
"2020-02-25","AL","Albania","EURO",0,0,0,0
"2020-02-26","AL","Albania","EURO",0,0,0,0
"2020-02-27","AL","Albania","EURO",0,0,0,0
"2020-02-28","AL","Albania","EURO",0,0,0,0
"2020-02-29","AL","Albania","EURO",0,0,0,0
"2020-03-01","AL","Albania","EURO",0,0,0,0
"2020-03-02","AL","Albania","EURO",0,0,0,0
"2020-03-03","AL","Albania","EURO",0,0,0,0
"2020-03-04","AL","Albania","EURO",0,0,0,0
"2020-03-05","AL","Albania","EURO",0,0,0,0
"2020-03-06","AL","Albania","EURO",0,0,0,0
"2020-03-07","AL","Albania","EURO",0,0,0,0
"2020-03-08","AL","Albania","EURO",0,0,0,0
"2020-03-09","AL","Albania","EURO",2,2,0,0
"2020-03-10","AL","Albania","EURO",0,2,0,0
"2020-03-11","AL","Albania","EURO",0,2,0,0
"2020-03-12","AL","Albania","EURO",1,3,1,1
"2020-03-13","AL","Albania","EURO",0,3,0,1
"2020-03-14","AL","Albania","EURO",0,3,0,1
"2020-03-15","AL","Albania","EURO",0,3,0,1
"2020-03-16","AL","Albania","EURO",2,5,0,1
"2020-03-17","AL","Albania","EURO",9,14,0,1
"2020-03-18","AL","Albania","EURO",4,18,0,1
"2020-03-19","AL","Albania","EURO",3,21,0,1
"2020-03-20","AL","Albania","EURO",11,32,0,1
"2020-03-21","AL","Albania","EURO",19,51,0,1
"2020-03-22","AL","Albania","EURO",0,51,0,1
"2020-03-23","AL","Albania","EURO",15,66,2,3
"2020-03-24","AL","Albania","EURO",19,85,1,4
"2020-03-25","AL","Albania","EURO",23,108,0,4
"2020-03-26","AL","Albania","EURO",28,136,1,5
"2020-03-27","AL","Albania","EURO",12,148,2,7
"2020-03-28","AL","Albania","EURO",11,159,1,8
"2020-03-29","AL","Albania","EURO",15,174,1,9
"2020-03-30","AL","Albania","EURO",11,185,1,10
"2020-03-31","AL","Albania","EURO",20,205,2,12
"2020-04-01","AL","Albania","EURO",34,239,2,14
"2020-04-02","AL","Albania","EURO",0,239,0,14
"2020-04-03","AL","Albania","EURO",0,239,1,15
"2020-04-04","AL","Albania","EURO",56,295,1,16
"2020-04-05","AL","Albania","EURO",0,295,1,17
"2020-04-06","AL","Albania","EURO",44,339,3,20
"2020-04-07","AL","Albania","EURO",0,339,1,21
"2020-04-08","AL","Albania","EURO",23,362,0,21
"2020-04-09","AL","Albania","EURO",9,371,0,21
"2020-04-10","AL","Albania","EURO",7,378,1,22
"2020-04-11","AL","Albania","EURO",0,378,0,22
"2020-04-12","AL","Albania","EURO",30,408,0,22
"2020-04-13","AL","Albania","EURO",0,408,0,22
"2020-04-14","AL","Albania","EURO",29,437,0,22
"2020-04-15","AL","Albania","EURO",0,437,1,23
"2020-04-16","AL","Albania","EURO",19,456,1,24
"2020-04-17","AL","Albania","EURO",24,480,1,25
"2020-04-18","AL","Albania","EURO",30,510,0,25
"2020-04-19","AL","Albania","EURO",0,510,0,25
"2020-04-20","AL","Albania","EURO",14,524,0,25
"2020-04-21","AL","Albania","EURO",47,571,0,25
"2020-04-22","AL","Albania","EURO",25,596,0,25
"2020-04-23","AL","Albania","EURO",0,596,1,26
"2020-04-24","AL","Albania","EURO",44,640,0,26
"2020-04-25","AL","Albania","EURO",0,640,0,26
"2020-04-26","AL","Albania","EURO",34,674,0,26
"2020-04-27","AL","Albania","EURO",14,688,1,27
"2020-04-28","AL","Albania","EURO",10,698,0,27
"2020-04-29","AL","Albania","EURO",30,728,2,29
"2020-04-30","AL","Albania","EURO",7,735,1,30
"2020-05-01","AL","Albania","EURO",0,735,0,30
"2020-05-02","AL","Albania","EURO",16,751,0,30
"2020-05-03","AL","Albania","EURO",6,757,0,30
"2020-05-04","AL","Albania","EURO",8,765,0,30
"2020-05-05","AL","Albania","EURO",17,782,0,30
"2020-05-06","AL","Albania","EURO",12,794,0,30
"2020-05-07","AL","Albania","EURO",0,794,0,30
"2020-05-08","AL","Albania","EURO",18,812,0,30
"2020-05-09","AL","Albania","EURO",6,818,0,30
"2020-05-10","AL","Albania","EURO",12,830,0,30
"2020-05-11","AL","Albania","EURO",0,830,0,30
"2020-05-12","AL","Albania","EURO",4,834,0,30
"2020-05-13","AL","Albania","EURO",4,838,0,30
"2020-05-14","AL","Albania","EURO",4,842,0,30
"2020-05-15","AL","Albania","EURO",18,860,0,30
"2020-05-16","AL","Albania","EURO",35,895,0,30
"2020-05-17","AL","Albania","EURO",13,908,0,30
"2020-05-18","AL","Albania","EURO",2,910,0,30
"2020-05-19","AL","Albania","EURO",0,910,0,30
"2020-05-20","AL","Albania","EURO",16,926,0,30
"2020-05-21","AL","Albania","EURO",5,931,0,30
"2020-05-22","AL","Albania","EURO",0,931,0,30
"2020-05-23","AL","Albania","EURO",12,943,0,30
"2020-05-24","AL","Albania","EURO",8,951,1,31
"2020-05-25","AL","Albania","EURO",15,966,0,31
"2020-05-26","AL","Albania","EURO",25,991,1,32
"2020-05-27","AL","Albania","EURO",21,1012,0,32
"2020-05-28","AL","Albania","EURO",26,1038,0,32
"2020-05-29","AL","Albania","EURO",23,1061,0,32
"2020-05-30","AL","Albania","EURO",23,1084,0,32
"2020-05-31","AL","Albania","EURO",14,1098,0,32
"2020-06-01","AL","Albania","EURO",7,1105,0,32
"2020-06-02","AL","Albania","EURO",36,1141,0,32
"2020-06-03","AL","Albania","EURO",20,1161,1,33
"2020-06-04","AL","Albania","EURO",36,1197,0,33
"2020-06-05","AL","Albania","EURO",15,1212,0,33
"2020-06-06","AL","Albania","EURO",20,1232,1,34
"2020-06-07","AL","Albania","EURO",14,1246,0,34
"2020-06-08","AL","Albania","EURO",17,1263,0,34
"2020-06-09","AL","Albania","EURO",36,1299,0,34
"2020-06-10","AL","Albania","EURO",42,1341,0,34
"2020-06-11","AL","Albania","EURO",44,1385,0,34
"2020-06-12","AL","Albania","EURO",31,1416,2,36
"2020-06-13","AL","Albania","EURO",48,1464,0,36
"2020-06-14","AL","Albania","EURO",57,1521,0,36
"2020-06-15","AL","Albania","EURO",69,1590,0,36
"2020-06-16","AL","Albania","EURO",82,1672,1,37
"2020-06-17","AL","Albania","EURO",50,1722,1,38
"2020-06-18","AL","Albania","EURO",66,1788,1,39
"2020-06-19","AL","Albania","EURO",50,1838,3,42
"2020-06-20","AL","Albania","EURO",0,1838,0,42
"2020-06-21","AL","Albania","EURO",53,1891,1,43
"2020-06-22","AL","Albania","EURO",104,1995,1,44
"2020-06-23","AL","Albania","EURO",52,2047,1,45
"2020-06-24","AL","Albania","EURO",67,2114,2,47
"2020-06-25","AL","Albania","EURO",78,2192,1,48
"2020-06-26","AL","Albania","EURO",77,2269,3,51
"2020-06-27","AL","Albania","EURO",61,2330,2,53
"2020-06-28","AL","Albania","EURO",72,2402,2,55
"2020-06-29","AL","Albania","EURO",64,2466,3,58
"2020-06-30","AL","Albania","EURO",69,2535,4,62
"2020-07-01","AL","Albania","EURO",45,2580,3,65
"2020-07-02","AL","Albania","EURO",82,2662,4,69
"2020-07-03","AL","Albania","EURO",90,2752,3,72
"2020-07-04","AL","Albania","EURO",67,2819,2,74
"2020-07-05","AL","Albania","EURO",74,2893,2,76
"2020-07-06","AL","Albania","EURO",71,2964,3,79
"2020-07-07","AL","Albania","EURO",74,3038,2,81
"2020-07-08","AL","Albania","EURO",68,3106,2,83
"2020-07-09","AL","Albania","EURO",82,3188,0,83
"2020-07-10","AL","Albania","EURO",90,3278,2,85
"2020-07-11","AL","Albania","EURO",93,3371,4,89
"2020-07-12","AL","Albania","EURO",83,3454,4,93
"2020-07-13","AL","Albania","EURO",117,3571,2,95
"2020-07-14","AL","Albania","EURO",96,3667,2,97
"2020-07-15","AL","Albania","EURO",85,3752,4,101
"2020-07-16","AL","Albania","EURO",99,3851,3,104
"2020-07-17","AL","Albania","EURO",55,3906,3,107
"2020-07-18","AL","Albania","EURO",0,3906,0,107
"2020-07-19","AL","Albania","EURO",102,4008,4,111
"2020-07-20","AL","Albania","EURO",82,4090,1,112
"2020-07-21","AL","Albania","EURO",81,4171,1,113
"2020-07-22","AL","Albania","EURO",119,4290,4,117
"2020-07-23","AL","Albania","EURO",68,4358,3,120
"2020-07-24","AL","Albania","EURO",108,4466,3,123
"2020-07-25","AL","Albania","EURO",104,4570,5,128
"2020-07-26","AL","Albania","EURO",67,4637,6,134
"2020-07-27","AL","Albania","EURO",126,4763,4,138
"2020-07-28","AL","Albania","EURO",117,4880,6,144
"2020-07-29","AL","Albania","EURO",117,4997,4,148
"2020-07-30","AL","Albania","EURO",108,5105,2,150
"2020-07-31","AL","Albania","EURO",92,5197,4,154
"2020-08-01","AL","Albania","EURO",79,5276,3,157
"2020-08-02","AL","Albania","EURO",120,5396,4,161
"2020-08-03","AL","Albania","EURO",123,5519,5,166
"2020-08-04","AL","Albania","EURO",101,5620,6,172
"2020-08-05","AL","Albania","EURO",130,5750,4,176
"2020-08-06","AL","Albania","EURO",139,5889,6,182
"2020-08-07","AL","Albania","EURO",127,6016,6,188
"2020-08-08","AL","Albania","EURO",135,6151,1,189
"2020-08-09","AL","Albania","EURO",124,6275,4,193
"2020-08-10","AL","Albania","EURO",136,6411,6,199
"2020-08-11","AL","Albania","EURO",125,6536,1,200
"2020-08-12","AL","Albania","EURO",140,6676,5,205
"2020-08-13","AL","Albania","EURO",141,6817,3,208
"2020-08-14","AL","Albania","EURO",154,6971,5,213
"2020-08-15","AL","Albania","EURO",146,7117,6,219
"2020-08-16","AL","Albania","EURO",143,7260,6,225
"2020-08-17","AL","Albania","EURO",120,7380,3,228
"2020-08-18","AL","Albania","EURO",119,7499,2,230
"2020-08-19","AL","Albania","EURO",155,7654,2,232
"2020-08-20","AL","Albania","EURO",158,7812,2,234
"2020-08-21","AL","Albania","EURO",155,7967,4,238
"2020-08-22","AL","Albania","EURO",152,8119,2,240
"2020-08-23","AL","Albania","EURO",156,8275,5,245
"2020-08-24","AL","Albania","EURO",152,8427,5,250
"2020-08-25","AL","Albania","EURO",178,8605,4,254
"2020-08-26","AL","Albania","EURO",154,8759,5,259
"2020-08-27","AL","Albania","EURO",168,8927,4,263
"2020-08-28","AL","Albania","EURO",156,9083,3,266
"2020-08-29","AL","Albania","EURO",112,9195,5,271
"2020-08-30","AL","Albania","EURO",84,9279,4,275
"2020-08-31","AL","Albania","EURO",101,9380,5,280
"2020-09-01","AL","Albania","EURO",133,9513,4,284
"2020-09-02","AL","Albania","EURO",93,9606,6,290
"2020-09-03","AL","Albania","EURO",122,9728,6,296
"2020-09-04","AL","Albania","EURO",116,9844,5,301
"2020-09-05","AL","Albania","EURO",123,9967,5,306
"2020-09-06","AL","Albania","EURO",135,10102,6,312
"2020-09-07","AL","Albania","EURO",153,10255,4,316
"2020-09-08","AL","Albania","EURO",151,10406,3,319
"2020-09-09","AL","Albania","EURO",147,10553,2,321
"2020-09-10","AL","Albania","EURO",151,10704,1,322
"2020-09-11","AL","Albania","EURO",156,10860,2,324
"2020-09-12","AL","Albania","EURO",161,11021,3,327
"2020-09-13","AL","Albania","EURO",164,11185,3,330
"2020-09-14","AL","Albania","EURO",168,11353,4,334
"2020-09-15","AL","Albania","EURO",167,11520,4,338
"2020-09-16","AL","Albania","EURO",152,11672,2,340
"2020-09-17","AL","Albania","EURO",144,11816,3,343
"2020-09-18","AL","Albania","EURO",132,11948,4,347
"2020-09-19","AL","Albania","EURO",125,12073,6,353
"2020-09-20","AL","Albania","EURO",153,12226,5,358
"2020-09-21","AL","Albania","EURO",159,12385,4,362
"2020-09-22","AL","Albania","EURO",150,12535,2,364
"2020-09-23","AL","Albania","EURO",131,12666,3,367
"2020-09-24","AL","Albania","EURO",121,12787,3,370
"2020-09-25","AL","Albania","EURO",134,12921,0,370
"2020-09-26","AL","Albania","EURO",124,13045,3,373
"2020-09-27","AL","Albania","EURO",108,13153,2,375
"2020-09-28","AL","Albania","EURO",106,13259,2,377
"2020-09-29","AL","Albania","EURO",132,13391,3,380
"2020-09-30","AL","Albania","EURO",127,13518,4,384
"2020-10-01","AL","Albania","EURO",131,13649,3,387
"2020-10-02","AL","Albania","EURO",157,13806,1,388
"2020-10-03","AL","Albania","EURO",159,13965,1,389
"2020-10-04","AL","Albania","EURO",152,14117,3,392
"2020-10-05","AL","Albania","EURO",149,14266,4,396
"2020-10-06","AL","Albania","EURO",144,14410,4,400
"2020-10-07","AL","Albania","EURO",158,14568,3,403
"2020-10-08","AL","Albania","EURO",162,14730,4,407
"2020-10-09","AL","Albania","EURO",169,14899,4,411
"2020-10-10","AL","Albania","EURO",167,15066,2,413
"2020-10-11","AL","Albania","EURO",165,15231,3,416
"2020-10-12","AL","Albania","EURO",168,15399,4,420
"2020-10-13","AL","Albania","EURO",171,15570,4,424
"2020-10-14","AL","Albania","EURO",182,15752,5,429
"2020-10-15","AL","Albania","EURO",203,15955,5,434
"2020-10-16","AL","Albania","EURO",257,16212,5,439
"2020-10-17","AL","Albania","EURO",289,16501,4,443
"2020-10-18","AL","Albania","EURO",273,16774,5,448
"2020-10-19","AL","Albania","EURO",281,17055,3,451
"2020-10-20","AL","Albania","EURO",295,17350,3,454
"2020-10-21","AL","Albania","EURO",301,17651,4,458
"2020-10-22","AL","Albania","EURO",297,17948,4,462
"2020-10-23","AL","Albania","EURO",302,18250,3,465
"2020-10-24","AL","Albania","EURO",306,18556,4,469
"2020-10-25","AL","Albania","EURO",302,18858,4,473
"2020-10-26","AL","Albania","EURO",299,19157,4,477
"2020-10-27","AL","Albania","EURO",288,19445,3,480
"2020-10-28","AL","Albania","EURO",284,19729,7,487
"2020-10-29","AL","Albania","EURO",311,20040,6,493
"2020-10-30","AL","Albania","EURO",275,20315,6,499
